CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Weight,Price,Brand_Acer,Brand_Apple,Brand_Asus,Brand_Dell,Brand_HP,Brand_LG,Brand_Lenovo,Brand_MSI,Brand_Microsoft,Brand_Other,OS_Other,OS_Windows 10,OS_Windows 11
19333.0,2690.0,16.0,1920,1200,16.0,512.0,2.52,969.0,False,False,False,True,False,False,False,False,False,False,False,False,True
15451.0,1971.0,15.6,1920,1080,16.0,256.0,1.61,1355.95,False,False,False,True,False,False,False,False,False,False,False,True,False
15398.0,2152.0,15.3,2880,1864,16.0,256.0,1.5,1499.0,False,True,False,False,False,False,False,False,False,False,False,True,False
7186.0,2040.0,15.6,1920,1080,32.0,1024.0,1.82,759.0,True,False,False,False,False,False,False,False,False,False,False,False,True
10346.0,1476.0,15.6,1920,1080,40.0,2048.0,1.8,1589.0,False,False,False,False,False,False,True,False,False,False,False,True,False
3013.0,1792.0,15.6,1366,768,4.0,128.0,1.29,269.99,False,False,False,False,False,False,True,False,False,False,False,False,True
2304.0,4253.0,14.0,1920,1080,8.0,128.0,3.41,953.6,False,False,False,True,False,False,False,False,False,False,False,True,False
15084.0,240.0,16.0,1920,1200,8.0,512.0,1.6,999.0,False,False,False,False,False,True,False,False,False,False,False,True,False
23001.0,3689.0,15.6,1920,1080,32.0,1024.0,1.5,1720.99,False,False,False,False,False,False,True,False,False,False,False,False,True
2059.0,2690.0,13.3,2560,1600,16.0,512.0,1.61,1029.99,False,False,False,False,False,False,True,False,False,False,False,True,False
21133.0,37.0,17.3,1920,1080,24.0,512.0,2.16,989.99,False,False,True,False,False,False,False,False,False,False,False,True,False
2991.0,1476.0,14.0,1366,768,16.0,500.0,2.25,234.98,False,False,False,False,False,False,True,False,False,False,False,True,False
18825.0,1792.0,17.3,1920,1080,16.0,1024.0,1.49,799.99,False,False,True,False,False,False,False,False,False,False,False,False,True
19333.0,2690.0,15.6,1920,1080,32.0,2048.0,2.42,1359.0,False,False,False,False,True,False,False,False,False,False,False,False,True
17165.0,1792.0,14.0,1920,1080,32.0,1024.0,1.5,1194.98,False,False,False,False,False,False,True,False,False,False,False,False,True
15019.0,7576.0,17.0,3840,2400,16.0,512.0,2.09,3061.73,False,False,False,True,False,False,False,False,False,False,False,True,False
21088.0,2690.0,16.0,1920,1200,8.0,512.0,2.13,1892.03,False,False,False,False,True,False,False,False,False,False,False,False,True
28003.0,10005.0,16.0,3840,2400,32.0,1024.0,1.77,2959.99,False,False,False,False,True,False,False,False,False,False,False,False,True
6287.0,1476.0,14.0,1366,768,8.0,256.0,1.6,401.98,False,False,False,True,False,False,False,False,False,False,False,True,False
13775.0,2690.0,14.0,1920,1200,16.0,512.0,1.77,799.99,False,False,False,True,False,False,False,False,False,False,False,False,True
23728.0,23757.0,15.6,1920,1080,16.0,1000.0,3.64,1837.6,False,False,False,True,False,False,False,False,False,False,False,False,True
13775.0,4601.0,15.6,1920,1080,64.0,2048.0,1.77,1579.99,False,False,False,False,True,False,False,False,False,False,False,False,True
9891.0,1476.0,15.6,1920,1080,32.0,512.0,1.7,537.0,False,False,False,True,False,False,False,False,False,False,False,False,True
24971.0,10181.0,15.6,1920,1080,32.0,1024.0,2.68,999.79,True,False,False,False,False,False,False,False,False,False,False,False,True
17229.0,4601.0,16.0,3840,2400,32.0,2048.0,1.61,1149.0,False,False,False,True,False,False,False,False,False,False,False,False,True
12961.0,1476.0,15.6,1920,1080,8.0,256.0,1.75,569.0,False,False,True,False,False,False,False,False,False,False,False,False,True
14526.0,7868.0,17.3,1920,1080,32.0,4096.0,2.6,1429.0,False,False,True,False,False,False,False,False,False,False,False,False,True
20851.0,353.0,13.0,1920,1200,16.0,512.0,1.26,2069.0,False,False,False,False,False,False,True,False,False,False,False,True,False
23001.0,1792.0,15.6,1920,1080,16.0,512.0,1.98,1451.88,False,False,False,False,False,False,True,False,False,False,False,True,False
2304.0,1476.0,14.0,1366,768,4.0,256.0,1.68,252.98,False,False,False,False,True,False,False,False,False,False,False,True,False
21493.0,926.0,14.0,1920,1080,8.0,256.0,1.55,893.86,False,False,False,True,False,False,False,False,False,False,False,False,True
11027.0,1476.0,15.6,1366,768,32.0,1024.0,2.07,539.0,False,False,False,False,True,False,False,False,False,False,False,False,True
26423.0,8274.0,16.0,2560,1600,16.0,1024.0,2.18,1499.99,False,False,False,False,False,False,True,False,False,False,False,False,True
9970.0,2690.0,14.0,1920,1080,16.0,512.0,1.19,1563.91,False,False,False,True,False,False,False,False,False,False,False,False,True
14043.0,1971.0,13.5,2256,1504,16.0,512.0,1.3,1499.99,False,False,False,False,False,False,False,False,True,False,False,True,False
10552.0,2690.0,13.3,1920,1080,32.0,1024.0,1.18,1259.0,False,False,False,True,False,False,False,False,False,False,False,False,True
835.0,303.0,14.0,1366,768,4.0,64.0,1.3,318.66,False,False,False,False,True,False,False,False,False,False,False,True,False
13144.0,2040.0,14.0,1920,1080,8.0,512.0,1.5,524.0,False,False,True,False,False,False,False,False,False,False,False,False,True
1417.0,324.0,14.0,1366,768,4.0,32.0,1.63,309.0,False,False,False,False,True,False,False,False,False,False,True,False,False
9891.0,926.0,14.0,1920,1080,32.0,2048.0,1.77,999.99,False,False,False,True,False,False,False,False,False,False,False,True,False
23276.0,19560.0,15.6,1920,1080,32.0,1024.0,2.22,1089.99,False,False,False,False,False,False,False,True,False,False,False,True,False
15287.0,1971.0,14.0,1920,1080,16.0,256.0,1.55,975.04,False,False,False,True,False,False,False,False,False,False,False,True,False
27476.0,22064.0,16.0,1920,1200,16.0,512.0,2.2,2489.95,False,False,False,False,False,False,True,False,False,False,False,True,False
20753.0,17089.0,15.6,1920,1080,16.0,1024.0,2.1,1819.84,False,False,False,False,False,False,False,True,False,False,False,False,True
9891.0,926.0,15.6,1920,1080,16.0,256.0,1.77,569.68,False,False,False,True,False,False,False,False,False,False,False,False,True
23276.0,19560.0,15.6,1920,1080,16.0,512.0,2.5,1369.0,True,False,False,False,False,False,False,False,False,False,False,False,True
18825.0,240.0,14.0,1920,1200,16.0,512.0,1.53,931.95,False,False,False,False,False,False,True,False,False,False,False,True,False
26423.0,2690.0,15.6,1920,1080,16.0,512.0,1.82,1113.99,False,False,True,False,False,False,False,False,False,False,False,False,True
9891.0,2690.0,15.6,1920,1080,8.0,512.0,1.82,639.99,False,False,True,False,False,False,False,False,False,False,False,True,False
26454.0,19560.0,16.0,2560,1600,32.0,4096.0,2.27,2399.0,False,False,False,False,False,False,False,True,False,False,False,False,True
17441.0,1476.0,15.6,1920,1080,16.0,256.0,2.17,627.95,False,False,False,True,False,False,False,False,False,False,False,False,True
4982.0,1476.0,17.3,1600,900,8.0,128.0,1.64,694.99,False,False,False,False,True,False,False,False,False,False,False,True,False
15251.0,7576.0,15.6,1920,1200,32.0,1024.0,2.09,2166.75,False,False,False,True,False,False,False,False,False,False,False,True,False
8013.0,1821.0,15.0,2496,1664,8.0,512.0,1.55,795.0,False,False,False,False,False,False,False,False,True,False,False,True,False
15348.0,1971.0,14.0,1920,1200,16.0,512.0,1.33,1658.5,False,False,False,True,False,False,False,False,False,False,False,True,False
227.0,4253.0,15.0,1366,768,4.0,128.0,2.27,235.99,False,False,False,False,True,False,False,False,False,False,False,False,True
6287.0,4253.0,14.0,1920,1080,16.0,512.0,2.27,339.99,False,False,False,True,False,False,False,False,False,False,False,True,False
2003.0,1476.0,15.6,1920,1080,4.0,64.0,1.77,353.99,False,False,True,False,False,False,False,False,False,False,True,False,False
9891.0,2690.0,14.0,1920,1080,8.0,256.0,2.05,499.99,False,False,False,True,False,False,False,False,False,False,False,True,False
13144.0,12984.0,15.6,1920,1080,32.0,1024.0,1.77,699.79,False,False,False,False,True,False,False,False,False,False,False,False,True
13775.0,1971.0,15.6,1920,1080,16.0,512.0,1.76,749.99,True,False,False,False,False,False,False,False,False,False,False,True,False
26423.0,12961.0,17.3,1920,1080,16.0,1024.0,2.73,1399.0,False,False,False,False,False,False,False,True,False,False,False,False,True
9891.0,1476.0,15.6,1920,1080,16.0,512.0,1.94,505.79,False,False,False,True,False,False,False,False,False,False,False,False,True
9891.0,926.0,15.6,1920,1080,8.0,512.0,1.77,519.79,False,False,False,True,False,False,False,False,False,False,False,False,True
