,Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price,CPU Brand,GPU Brand
1694,dell,7460.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 10,2.16,539.79,intel,intel
1695,hp,13144.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 11,1.72,429.99,amd,radeon
1696,lenovo,15451.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.7,1891.95,intel,intel
1697,acer,17229.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 10,1.77,1083.68,intel,intel
1698,asus,2877.0,926.0,14.0,1920,1080,4.0,128.0,Windows 10,1.27,281.5,intel,intel
1699,microsoft,14043.0,2690.0,13.5,2256,1504,16.0,256.0,Windows 10,1.3,1400.65,intel,intel
1700,hp,9173.0,4253.0,15.6,1920,1080,16.0,1000.0,Windows 11,1.7,735.0,intel,intel
1701,asus,1417.0,324.0,14.0,1920,1080,4.0,128.0,Windows 10,1.32,239.0,intel,intel
1702,asus,20356.0,1792.0,16.0,1920,1080,16.0,1024.0,Windows 11,1.87,662.0,amd,radeon
1703,lenovo,20851.0,353.0,14.0,1920,1200,16.0,512.0,Windows 10,1.23,1932.95,amd,radeon
1704,hp,1722.0,4.0,14.0,1366,768,4.0,120.0,Windows 10,2.03,180.98,intel,geforce2
1705,lenovo,16980.0,1971.0,14.0,1920,1200,8.0,256.0,Windows 10,1.38,808.95,intel,intel
1706,lenovo,1053.0,296.0,14.0,1920,1080,4.0,64.0,Windows 10,1.36,159.0,amd,radeon
1707,hp,3855.0,891.0,15.6,1920,1080,8.0,256.0,Windows 10,2.22,456.78,amd,radeon
1708,hp,11027.0,324.0,13.5,2256,1504,8.0,128.0,Windows 10,1.3,1148.95,intel,intel
1709,lenovo,9891.0,926.0,14.0,1920,1080,12.0,512.0,Windows 11,1.83,999.99,intel,intel
1710,lenovo,6026.0,1402.0,14.0,1920,1080,16.0,2048.0,Windows 10,1.77,1219.99,intel,radeon
1711,hp,658.0,1476.0,11.6,1366,768,4.0,64.0,Windows 10,1.17,159.98,intel,intel
1712,lenovo,2003.0,1476.0,11.6,1366,768,4.0,32.0,Windows 10,1.63,324.91,intel,intel
1713,hp,17441.0,7868.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.32,685.0,intel,geforce
1714,dell,9970.0,926.0,14.0,1920,1080,32.0,1024.0,Windows 11,1.82,875.0,intel,intel
1715,panasonic,9970.0,1971.0,14.0,1920,1080,16.0,512.0,Windows 10,2.2,3522.4,intel,intel
1716,lenovo,7773.0,1792.0,15.6,1920,1080,16.0,256.0,Windows 11,1.72,749.55,amd,radeon
1717,hp,2003.0,324.0,14.0,1366,768,8.0,32.0,Windows 10,1.54,335.16,intel,intel
1718,lenovo,16980.0,1971.0,14.0,1920,1200,16.0,256.0,Windows 10,1.38,808.95,intel,intel
1719,asus,15084.0,2040.0,16.0,1920,1200,8.0,512.0,Windows 10,1.86,589.0,amd,ryzen
1720,lg,19333.0,1971.0,15.6,1920,1080,16.0,1024.0,Windows 10,0.99,1571.73,intel,intel
1721,dell,2010.0,298.0,13.3,1920,1080,8.0,256.0,Windows 10,1.54,468.0,intel,intel
1722,dell,17229.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.77,849.99,intel,intel
1723,dell,13554.0,2690.0,15.6,1920,1080,12.0,256.0,Windows 10,1.77,516.79,intel,intel
1724,dell,10280.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 11,2.98,519.0,intel,intel
1725,dell,18462.0,4601.0,15.6,1920,1080,48.0,2048.0,Windows 10,1.64,1289.0,amd,geforce
1726,acer,28906.0,19560.0,17.3,2560,1600,64.0,4096.0,Windows 10,2.41,2149.0,amd,geforce
1727,lg,17329.0,1971.0,15.0,1920,1080,8.0,256.0,Windows 10,1.75,879.0,intel,intel
1728,dell,15287.0,2690.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.54,949.0,intel,intel
1729,hp,27909.0,10005.0,15.6,1920,1080,16.0,512.0,Windows 11,1.37,2309.99,amd,rtx
1730,asus,6132.0,1476.0,15.6,1920,1080,12.0,512.0,Windows 11,1.8,395.0,intel,intel
1731,hp,15348.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.67,1682.92,intel,intel
1732,dell,10346.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 10,1.79,706.0,intel,intel
1733,asus,6132.0,1476.0,14.0,1366,768,12.0,512.0,Windows 10,2.54,389.0,intel,intel
1734,dell,17229.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.27,999.0,intel,intel
1735,hp,19333.0,2690.0,14.0,2560,1600,32.0,512.0,Windows 11,1.17,1995.99,intel,intel
1736,lenovo,13554.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 11,1.09,749.56,intel,intel
1737,dell,23276.0,4253.0,13.3,1920,1080,8.0,256.0,Windows 10,1.18,759.98,intel,intel
1738,hp,10346.0,4.0,13.3,1920,1080,8.0,256.0,Windows 10,1.32,787.0,intel,geforce2
1739,asus,29690.0,19560.0,16.0,1920,1200,16.0,512.0,Windows 10,1.9,1399.99,intel,geforce
1740,lenovo,9891.0,926.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,1128.0,intel,intel
1741,hp,15287.0,4253.0,15.6,1920,1080,32.0,1000.0,Windows 11,1.6,899.99,intel,intel
1742,apple,23805.0,6010.0,14.2,3024,1964,36.0,1024.0,MacOS,1.6,2799.0,apple,intel
1744,acer,15500.0,12961.0,14.0,1920,1080,8.0,512.0,Windows 10,1.5,629.99,amd,geforce
1745,lenovo,10346.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,649.99,intel,intel
1746,asus,10936.0,7868.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.4,1099.0,intel,geforce
1747,hp,9891.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,1.88,589.99,intel,intel
1748,hp,34115.0,26876.0,17.3,2560,1440,16.0,512.0,Windows 10,2.8,1729.0,intel,geforce
1749,lenovo,7646.0,7868.0,15.6,1600,1200,8.0,512.0,Windows 10,2.18,789.99,intel,geforce
1751,lenovo,17546.0,2690.0,16.0,1920,1200,16.0,1024.0,Windows 11,1.68,1379.0,intel,intel
1753,dell,3928.0,21775.0,17.3,1920,1080,64.0,1000.0,Windows 11,3.64,2585.75,intel,rtx
1754,hp,4583.0,324.0,11.6,1366,768,4.0,64.0,Windows 10,1.24,218.28,intel,intel
1755,lenovo,30440.0,13772.0,17.3,1920,1080,64.0,1024.0,Windows 11,1.77,1399.0,intel,rtx
1756,dell,48120.0,13772.0,17.3,1920,1080,64.0,512.0,Windows 11,3.64,2637.72,intel,rtx
1757,lenovo,13554.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.64,659.99,intel,intel
