,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,Storage Type,OS,Weight,Price
3407,Acer,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 2050,7320.0,17.3,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,3.00,1349.0
3408,Dell,Intel Core i7 11800H   2.30GHz,20753.0,Quadro RTX 3000,11157.0,17.0,1920.0,1200.0,32768.0,1048576.0,SSD,Windows 11,2.09,1946.99
3409,Dell,Intel Core i7 13700H,28003.0,Intel Arc A730M,8274.0,15.6,1920.0,1200.0,65536.0,2097152.0,SSD,Windows 11,1.91,1899.99
3410,Acer,Intel Core i5 2400S   2.50GHz,3149.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,32768.0,2097152.0,SSD,Windows 11,,1079.0
3412,Acer,AMD Ryzen 5 5625U,15084.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,,829.0
3415,Dell,Intel Core i7 13620H,26454.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,3.64,923.99
3416,Lenovo,Intel Core i7 1185G7   3.00GHz,10552.0,Quadro 500M,570.0,14.0,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,1.45,1209.0
3417,Dell,Intel Core i9 11900H   2.50GHz,20886.0,GeForce RTX 4070,26876.0,16.0,2560.0,1600.0,65536.0,2097152.0,SSD,Windows 10,2.86,2769.99
3418,Dell,Intel Core i7 1185G7   3.00GHz,10552.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,,804.0
3419,Asus,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,14.0,1366.0,768.0,12288.0,524288.0,SSD,Windows 11,,389.0
3420,Lenovo,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 4060,19560.0,15.6,2560.0,1440.0,65536.0,4194304.0,SSD,Windows 11,2.41,1979.0
3421,Asus,Intel Core i9 11900H   2.50GHz,20886.0,GeForce RTX 3050,12961.0,16.0,1920.0,1200.0,16384.0,524288.0,SSD,Windows 11,,1389.0
3422,HP,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3060 Ti,20599.0,16.1,1920.0,1080.0,65536.0,1048576.0,SSD,Windows 11,2.32,1719.0
3423,Dell,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,,1209.0
3425,Asus,Intel Core i7 12700H,26423.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,1.80,1049.0
3428,Lenovo,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,12288.0,262144.0,SSD,Windows 11,1.68,561.99
3432,Dell,Intel Core i5 1135G7   2.40GHz,9891.0,Intel Iris Pro Graphics 6200,1449.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,1.73,689.0
3434,Dell,AMD Ryzen 5 3350G,9041.0,GeForce RTX 3080 Ti,27324.0,17.3,1920.0,1080.0,65536.0,4096000.0,SSD,Windows 11,3.64,2598.74
3435,Dell,Intel Core i7 13620H,26454.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,1.22,866.24
3436,Dell,Intel Core i3 560   3.33GHz,1665.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,16384.0,262144.0,SSD,Windows 11,3.64,1213.87
3438,Dell,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3060 Ti,20599.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 11,2.52,1159.0
3439,Dell,Intel Core i5 11300H   3.10GHz,10984.0,GeForce RTX 4070,26876.0,16.0,2560.0,1600.0,24576.0,2097152.0,SSD,Windows 10,,2369.0
3440,Asus,Intel Celeron E3400   2.60GHz,844.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,4096.0,65536.0,SSD,Windows 10,1.50,325.0
3441,MSI,Intel Core i7 7700HQ   2.80GHz,6925.0,GeForce RTX 3060,17089.0,17.3,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,2.73,1599.0
3442,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 2050,7320.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 10,,1209.0
3443,HP,Intel Core i3 530   2.93GHz,1486.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,8192.0,131072.0,SSD,ChromeOS,3.27,401.88
3445,Lenovo,AMD Ryzen 7 7735HS,24268.0,GeForce RTX 4060,19560.0,15.6,2560.0,1440.0,16384.0,524288.0,SSD,Windows 11,2.41,1319.0
3446,Acer,Intel Core i5 10200H   2.40GHz,8185.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,524288.0,Hybrid,Windows 11,,1159.0
3447,MSI,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3080 12GB,26716.0,15.6,1920.0,1080.0,16384.0,1048576.0,SSD,Windows 10,2.73,1799.99
3448,MSI,Intel Core i7 2600   3.40GHz,5330.0,GeForce RTX 3060,17089.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 11,1.82,1539.0
3449,Dell,AMD Ryzen 5 2400G,8734.0,Radeon RX Vega 8,1487.0,15.6,1920.0,1080.0,32768.0,1048576.0,SSD,Windows 10,1.73,799.0
3450,Dell,Intel Core i7 9850H   2.60GHz,11197.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,16384.0,262144.0,SSD,Windows 10,2.05,390.97
3451,Dell,Intel Core i5 661   3.33GHz,2459.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,65536.0,262144.0,SSD,Windows 10,1.59,735.31
3452,Acer,Intel Core i7 2600S   2.80GHz,4602.0,GeForce RTX 4060,19560.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,2.50,1319.0
3454,Dell,Intel Core i3 530   2.93GHz,1486.0,Intel UHD Graphics,1476.0,15.6,1920.0,1080.0,8192.0,262144.0,SSD,Windows 11,1.81,712.3
3457,Dell,Intel Core i7 12800H,24971.0,Intel UHD Graphics,1476.0,13.3,1920.0,1080.0,16384.0,1024000.0,SSD,Windows 10,1.14,785.39
3458,MSI,Intel Core i5 11300H   3.10GHz,10984.0,GeForce RTX 4060,19560.0,16.0,2560.0,1600.0,32768.0,4194304.0,SSD,Windows 11,2.27,2399.0
3459,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,SSD,Windows 11,2.52,929.0
