,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
1561,Dell,Intel Core i7 12650H,23276,Intel UHD Graphics,1476,14,1920,1080,32768,524288,Windows 11,1.36,1097.24
1562,LG,AMD Ryzen 5 4500U,10999,Ryzen 3 4300G with Radeon Graphics,2040,13.3,1920,1080,8192,262144,Windows 11,1.54,649
1563,Samsung,Intel Core i3 10110U   2.10GHz,3919,Intel UHD Graphics,1476,13.3,1920,1080,8192,131072,ChromeOS,1.73,589.99
1564,Dell,Intel Core i7 12650H,23276,Intel Arc,4253,13.3,1920,1080,16384,524288,Windows 11,1.19,808.49
1565,HP,Intel Pentium N4200   1.10GHz,2169,Intel UHD Graphics 600,324,15.6,1920,1080,8192,262144,Windows 11,1.77,439
1566,Acer,Intel N50,2350,Intel Arc,4253,15.6,1920,1080,4096,131072,Windows 8,1.8,365.99
1567,HP,AMD Ryzen 7 5825U,18462,Ryzen 3 4300G with Radeon Graphics,2040,15.6,1920,1080,16384,524288,Windows 10,1.82,969.99
1568,Dell,AMD Ryzen 7 2800H,8013,GeForce MX550,4601,15.6,1920,1080,32768,1048576,Windows 11,1.69,1149
1569,Dell,Intel Core i7 13705H,23728,GeForce RTX 3060,17089,17,3840,2160,16384,1024000,Windows 10,3.64,2430.16
1570,Microsoft,Intel Core i7 1180G7   1.30GHz,8270,Intel Arc,4253,15,2560,1600,8192,524288,Windows 10,2.45,735.28
1571,Dell,Intel Core i7 11390H   3.40GHz,10329,GeForce MX450,3729,13.3,2560,1600,16384,524288,Windows 11,1.26,699.99
1572,Asus,AMD Ryzen 9 6900HS,23896,GeForce RTX 3060,17089,15.6,2560,1440,24576,2097152,Windows 11,1.9,1879
1573,Lenovo,MediaTek MT8183,2424,GeForce2 Integrated GPU,4,11.6,1366,768,32768,4096,ChromeOS,0.2,239.97
1574,Samsung,Intel Core i3 10110U   2.10GHz,3919,Intel UHD Graphics,1476,13.3,1920,1080,16384,524288,ChromeOS,1.68,689.99
1575,Dell,Intel Core i7 3930K   3.20GHz,8202,Intel Iris Xe,2690,15.6,1920,1080,32768,1048576,Windows 10,1.73,1127.99
1577,HP,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 11,2.29,660
1578,HP,Intel Core i5 7200U   2.50GHz,3395,Intel UHD Graphics,1476,14,1366,768,16384,512000,Windows 10,1.73,331.98
1579,Dell,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,15.6,1920,1080,16384,1048576,Windows 10,2.68,1609
1580,Asus,Intel Core i9 13900H,29690,GeForce RTX 3050,12961,16,1920,1200,16384,1048576,Windows 11,1.8,1499
1582,Dell,Intel XEON 2.20GHz,164,Intel Arc,4253,14,1920,1080,16384,262144,Windows 10,1.32,1079.91
1583,Dell,Intel Core i7 12650H,23276,GeForce GTX 1650 Ti,7576,17,1920,1200,32768,1048576,Windows 10,2.5,3132.12
1584,Lenovo,Intel Celeron N4020   1.10GHz,1556,Intel UHD Graphics 600,324,11.6,1366,768,4096,32768,ChromeOS,1.23,135
1585,Asus,AMD Ryzen 5 4600H,14526,GeForce GTX 1650,7868,17.3,1920,1080,16384,524288,Windows 10,1.62,919
1586,HP,Intel Core i3 1005G1   1.20GHz,4982,Intel UHD Graphics,1476,15.6,1366,768,8192,131072,Windows 10,2,369
1587,Dell,Intel Core i7 13700H,28003,RTX A2000,13772,14,1920,1200,16384,4096000,Windows 11,3.64,3538.89
1588,Asus,Intel Celeron N4020   1.10GHz,1556,Intel UHD Graphics 600,324,14,1920,1080,4096,65536,Windows 10,1.32,200.99
1589,Dell,Intel Core i5 12450H,17441,Intel UHD Graphics,1476,15.6,1920,1080,16384,524288,Windows 10,1.78,743.37
1590,Dell,Intel Core i5 12600H,23062,Intel UHD Graphics,1476,13.3,1920,1080,16384,524288,Windows 10,1.13,764.6
1591,Dell,Intel Core i7 13705H,23728,GeForce RTX 3050,12961,15.6,1920,1200,32768,1024000,Windows 11,3.64,1955.4
1592,Asus,Intel Core i5 8250U   1.60GHz,5897,Intel UHD Graphics 630,1247,15.6,1920,1080,8192,524288,Windows 10,1.82,949
1593,Dell,Intel Core i7 12700H,26423,GeForce RTX 3060,17089,16,2560,1600,32768,1048576,Windows 10,3.64,1599.99
1594,Dell,Intel Core i5 6200U   2.30GHz,2999,GeForce2 Integrated GPU,4,16,2560,1600,16384,524288,Windows 10,3.64,319.99
1595,Dell,AMD Ryzen 7 2700,15735,Radeon RX 6700 XT,19868,17.3,1920,1080,32768,1024000,Windows 11,3.64,1731.99
1596,HP,Intel Core i5 12450H,17441,Intel Iris Xe,2690,15.6,1920,1080,12288,1048576,Windows 10,1.73,674
1597,Dell,Intel Core i7 13705H,23728,GeForce RTX 3060,17089,17,1920,1200,32768,524288,Windows 11,3.64,2425.54
1598,Lenovo,Intel Core i5 1135G7   2.40GHz,9891,Intel Iris Xe,2690,14,1920,1200,8192,262144,Windows 10,1.36,789
1599,HP,Intel Core i5 1135G7   2.40GHz,9891,Intel Arc,4253,13.3,1920,1080,8192,524288,Windows 11,1.91,619.99
1600,Dell,Intel Core i5 6300U   2.40GHz,3240,Intel UHD Graphics,1476,14,1366,768,8192,262144,Windows 10,2.86,490
1601,Asus,AMD Ryzen 5 7530U,16506,Ryzen 3 4300G with Radeon Graphics,2040,16,1920,1200,16384,524288,Windows 11,1.88,789
1603,Asus,AMD Ryzen 7 5800HS,20356,Ryzen 3 4300G with Radeon Graphics,2040,16,1600,768,16384,524288,Windows 11,1.86,579.99
1604,Acer,Intel Core i5 12450H,17441,GeForce RTX 3050,12961,17.3,1920,1080,16384,524288,Windows 11,3,1159
1605,Acer,Intel Core i3 1215U,11027,Intel Arc,4253,15.6,1920,1080,8192,262144,Windows 11,2.78,849.99
1606,Lenovo,Intel Core i9 13900HX,44977,GeForce RTX 4070,26876,16,2560,1600,65536,2097152,Windows 11,2.55,2689
1607,Dell,Intel Core i3 1210U,10641,Intel UHD Graphics,1476,15.6,1366,768,8192,262144,Windows 10,2.37,384.63
1608,HP,Intel Core i3 1110G4   1.80GHz,4390,Intel UHD Graphics,1476,15.6,1366,768,16384,1048576,Windows 11,2.18,579
1609,Acer,Intel Core i7 11800H   2.30GHz,20753,GeForce RTX 3070,22459,15.6,2560,1440,16384,1048576,Windows 10,2,1636.5
1610,Lenovo,Intel Core i5 3317U   1.70GHz,2010,GeForce MX450,3729,16,2560,1600,8192,524288,Windows 11,1.9,599
1611,Dell,Intel Core i7 13700H,28003,Intel Arc A730M,8274,15.6,1920,1200,65536,2097152,Windows 10,1.92,2179
1613,Acer,Intel Core i5 12450H,17441,Intel Iris Xe,2690,15.6,1920,1080,16384,524288,Windows 11,3.46,589
1614,Asus,AMD Ryzen 7 7735HS,24268,GeForce RTX 2050,7320,17.3,1920,1080,16384,1048576,Windows 10,5,1659
1615,Lenovo,Intel Core i7 13700HX,34115,GeForce RTX 4060,19560,16,2560,1600,32768,2097152,Windows 11,2.55,2129
1616,Dell,Intel Core i7 985   3.47GHz,3928,RTX A2000,13772,17.3,1920,1080,32768,524288,Windows 11,3.64,2637.72
1617,Acer,Intel Core i5 1240P,17329,GeForce RTX 3050,12961,15.6,1920,1080,16384,524288,Windows 11,2.1,769
1618,Acer,Intel Core i5 10300H   2.50GHz,8473,GeForce RTX 3050,12961,15.6,1920,1080,16384,1048576,Windows 11,2.18,1229
1619,Lenovo,AMD Ryzen 3 5300U,9716,Ryzen 3 4300G with Radeon Graphics,2040,14,1920,1080,4096,131072,Windows 11,2.27,310
1620,Dell,AMD Ryzen 5 6600H,19012,GeForce RTX 3050,12961,15.6,1920,1080,8192,524288,Windows 11,2.52,929
