,Brand,Series,CPU,GPU,RAM,Monitor,Resolution,Storage,OS,Weight,Price
51,GIGABYTE,G6 KF-H3US853SH,Intel Intel Core i7 i7-13620H 3.6 GHz,NVIDIA® GeForce RTX™ 4060 Laptop GPU 8GB GDDR6,16 GB,16 Inches,1920 x 1200 pixels,512 GB SSD,Windows 11 Home,5.07 Pounds,899.99
52,Acer,Acer Nitro 17,AMD Ryzen 7 AMD Ryzen 7 7840HS 3 GHz,NVIDIA GeForce RTX 4060,32 GB,17.3 Inches,2560 x 1600,3 TB SSD,Windows 10 Pro,,1859.0
53,LENOVO,82KU00A9US,AMD Ryzen 5 AMD Ryzen 5 5500U 2.1 GHz,AMD Radeon 7 Graphics,8 GB,15.6 Inches,1920x1080,256 GB SSD,Windows 10 Home,3.7 Pounds,598.99
54,Lenovo,IdeaPad Pro 5,Intel Core i7 Family Intel Core i7-13700H 2.4 GHz,NVIDIA GeForce RTX 4050,16 GB,16 Inches,2560 x 1600,4 TB SSD,Windows 10 Home,,1559.0
55,Best Notebooks,ThinkPad X1 Extreme Gen 5 Laptop,Intel Intel Core i9 12th Gen Intel Core i9-12900H 5 GHz,GeForce RTX 3080 Ti 16GB,32 GB,16 Inches,3840 x 2160 pixels,8 TB,Windows 11 Pro,1.88 Kilograms,6599.0
56,acer,Nitro 5,Intel Core i5 Core i5-9300H 4.1 GHz,NVIDIA GeForce GTX 1650,8 GB,15.6 Inches,1920 x 1080 pixels,256 GB SSD,Windows 10 Home,5.1 Pounds,652.0
57,ASUS,TUF F15,Intel Corei5-10300H 2.5 GHz,NVIDIA GeForce GTX 1650,16 GB,15.6 Inches,1920 x 1080 pixels,1 TB SSD,Windows 10 Home,4.85 Pounds,861.42
58,LENOVO,Legion Pro 5,Intel Intel Core i9 13th Intel Core i9-13900HX 3.1 GHz,NVIDIA GeForce RTX 4070,64 GB,16 Inches,2560 x 1600,2 TB SSD,Windows 11 Pro,5.6 Pounds,2679.0
59,Lenovo,Slim 7 82VB,Intel Core i7 Family Intel Core i7-12700H 2.8 GHz,Intel Arc A370M,32 GB,16 Inches,2560 x 1600,1 TB SSD,Windows 11 Pro,4.6 Pounds,1449.0
60,MSI,Raider GE76 12UE-871,Intel Core i9 i9-12900H 1.8 GHz,NVIDIA GeForce RTX 3060,16 GB,17.3 Inches,1920 x 1080 pixels,1 TB SSD,Windows 11 Home,11.05 Pounds,1173.5
