,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Price,New Weight
1177,Dell,Intel Core i9 13980HX,48083.0,RTX A2000,13772.0,14.0,2560.0,1600.0,32768.0,2048000.0,Windows 11,2707.95,3.64
1178,Lenovo,Intel Core i7 1165G7   2.80GHz,10346.0,Intel Iris Xe,2690.0,15.6,1920.0,1080.0,12288.0,524288.0,Windows 10,999.0,1.91
1180,Microsoft,Intel Core i7 1250U,12421.0,Intel HD Graphics 620,926.0,13.5,2256.0,1504.0,16384.0,524288.0,Windows 11,1527.7,0.45
1181,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3070 Ti,23757.0,15.6,1920.0,1080.0,65536.0,4096000.0,Windows 11,2096.32,3.64
1182,Acer,Intel Core i5 1240P,17329.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,16384.0,524288.0,Windows 11,819.0,2.1
1183,Asus,Intel Core i3 4010U   1.70GHz,1655.0,Intel UHD Graphics,1476.0,14.0,1920.0,1080.0,8192.0,131072.0,Windows 10,649.99,1.27
1184,Dell,Intel Core i5 1334U,12802.0,GeForce RTX 3050,12961.0,15.6,1920.0,1080.0,8192.0,262144.0,Windows 11,989.55,3.64
1185,Dell,Intel Core i7 13705H,23728.0,GeForce RTX 3050,12961.0,17.0,3840.0,2160.0,16384.0,524288.0,Windows 11,2403.59,3.64
1186,Lenovo,Intel N50,2350.0,Intel Arc,4253.0,14.0,1920.0,1080.0,8192.0,262144.0,Windows 11,919.99,2.45
1187,HP,Intel Core i5 1145G7   2.60GHz,9970.0,Intel Iris Xe,2690.0,17.3,1920.0,1080.0,65536.0,2097152.0,Windows 11,1219.0,2.18
1188,MSI,Intel Core i7 11800H   2.30GHz,20753.0,GeForce RTX 3050,12961.0,17.3,1920.0,1080.0,16384.0,524288.0,Windows 11,1399.0,2.32
1189,Samsung,Intel Core i7 1270P,17546.0,Intel Iris Xe,2690.0,14.0,1920.0,1080.0,16384.0,1048576.0,Windows 11,1409.99,1.5
1190,Dell,Intel Core i7 13705H,23728.0,GeForce MX250,2438.0,15.6,1920.0,1080.0,16384.0,2048000.0,Windows 11,1182.26,3.64
