,Brand,CPU Name,CPU Mark,GPU Name,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
4516,Lenovo,Intel Core i3 1115G4   3.00GHz,6132.0,Intel UHD Graphics,1476.0,14.0,1920,1080,4.0,256.0,Windows 11,1.5,499.0
4517,Lenovo,Intel Celeron N4500   1.10GHz,2003.0,Intel UHD Graphics,1476.0,11.6,1366,768,4.0,32.0,No OS,1.63,324.91
4518,MSI,Intel Core i7 12650H,23276.0,GeForce RTX 3060,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,2.26,1849.0
4519,Samsung,Intel Core i5 1240P,17329.0,Intel HD Graphics 620,926.0,13.3,1920,1080,16.0,256.0,Windows 11,1.14,1296.9
4520,HP,Intel Core i5 1035G1   1.00GHz,7460.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,512.0,Windows 10,2.22,569.79
4521,Dell,Intel Core i7 12800H,24971.0,Intel Iris Xe,2690.0,14.0,1920,1080,16.0,1024.0,Windows 10,1.53,899.0
4522,Asus,Intel Core i5 12600,21384.0,GeForce3,4.0,14.0,1366,768,4.0,500.0,Windows 7,1.23,899.99
4523,Dell,Intel Core i9 13900HX,44977.0,GeForce RTX 4060,19560.0,15.6,1920,1080,64.0,2048.0,Windows 11,1.79,2099.0
4524,Dell,Intel Core i5 12450H,17441.0,Intel Iris Xe,2690.0,16.0,1920,1200,64.0,2048.0,Windows 11,2.27,1399.99
4525,MSI,Intel Core i9 13900H,29690.0,GeForce RTX 4070,26876.0,17.3,2560,1440,16.0,1024.0,Windows 11,2.8,2199.0
4526,Lenovo,Intel Core i7 1165G7   2.80GHz,10346.0,Intel HD Graphics 620,926.0,14.0,1920,1080,16.0,2048.0,Windows 10,1.77,1599.99
4527,MSI,Intel Core i7 12700H,26423.0,GeForce RTX 3080 Ti,27324.0,17.3,2560,1440,32.0,1024.0,Windows 11,2.9,3641.99
4528,Dell,Intel Core i7 1370P,21088.0,Ryzen 3 5300G with Radeon Graphics,1940.0,14.0,1920,1080,32.0,512.0,Windows 11,1.77,2028.91
4529,Lenovo,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,256.0,Windows 11,1.78,904.99
4530,HP,Intel Core i5 750S   2.40GHz,1326.0,Intel HD Graphics 620,926.0,15.6,1920,1080,11.0,256.0,Windows 11,1.6,874.95
4531,Dell,Intel Core i7 12800H,24971.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.73,799.99
4532,Dell,AMD Embedded R Series RX 216GD,1628.0,Ryzen 3 4300G with Radeon Graphics,2040.0,15.6,1366,768,16.0,1024.0,Windows 11,1.62,778.58
4533,Dell,Intel Core i7 12700H,26423.0,Intel Arc,4253.0,15.6,1920,1080,32.0,1000.0,Windows 10,2.46,1699.81
4534,Acer,AMD Ryzen 7 6800H,23656.0,GeForce RTX 3070 Ti,23757.0,15.6,2560,1440,64.0,2048.0,Windows 11,2.02,1589.0
4535,Lenovo,Intel N100,5641.0,Intel UHD Graphics,1476.0,14.0,1366,768,4.0,32.0,No OS,1.83,340.82
4536,Dell,Intel Core i7 13705H,23728.0,Intel UHD Graphics,1476.0,14.0,1920,1080,64.0,1000.0,Windows 11,3.64,1029.99
4537,LG,Intel Core i7 1360P,19333.0,Intel Iris Xe,2690.0,16.0,2560,1600,16.0,512.0,Windows 11,2.22,1089.49
4538,Dell,Intel Core i7 1265U,14043.0,Intel Iris Xe,2690.0,14.0,1920,1200,16.0,2048.0,Windows 11,1.83,1299.0
4539,EA,Intel Core i5 7200U   2.50GHz,3395.0,Intel HD Graphics 620,926.0,15.6,1920,1080,8.0,1024.0,Windows 10,1.16,59.99
4540,HP,AMD Ryzen 3 3250U,3855.0,Intel UHD Graphics,1476.0,14.0,1920,1080,16.0,1024.0,Windows 11,1.45,365.0
4541,Acer,Intel Core i3 1005G1   1.20GHz,4982.0,Intel HD Graphics 620,926.0,15.6,1920,1080,12.0,1024.0,Windows 10,2.22,696.99
4542,HP,Intel Core i5 1235U,13554.0,Intel Iris Xe,2690.0,15.6,1920,1080,16.0,256.0,Windows 10,1.74,787.0
4543,Dell,AMD Ryzen 5 6600H,19012.0,GeForce RTX 3050,12961.0,15.6,1920,1080,16.0,512.0,Windows 11,2.52,979.0
4544,HP,Intel N100,5641.0,Intel HD Graphics 620,926.0,11.6,1366,768,8.0,128.0,Windows 10,2.59,843.06
