,Name,Operating-System,Processor,GPU,Total-Installed-Memory,Display-Size,Total-Installed-Capacity,Weight,CPU,Price,Brand,Width,Height,Processor_,CPU Mark,GPU Mark
885,"Dell 15.6"" Latitude 3540 Notebook",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,8,15.6,256,1.81,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),840.92,Dell,1920,1080,Intel Core i5-1345U (13th Gen),15348.0,1971.0
886,"Dell 14"" Latitude 3440 Multi-Touch Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe,16,14.0,512,1.55,10-Core: Up to 5 GHz Performance (2 Cores)Up to 3.7 GHz Efficiency (8 Cores),1117.95,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,2690.0
887,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe,8,14.0,256,1.55,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),705.56,Dell,1366,768,Intel Core i5-1335U (13th Gen),16980.0,2690.0
888,"Dell 14"" Latitude 3440 Multi-Touch Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,256,1.55,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),929.95,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
889,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,8,14.0,256,1.55,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.5 GHz Efficiency (8 Cores),708.53,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
890,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i5-1335U (13th Gen),Intel Iris Xe ,16,14.0,256,1.55,10-Core: Up to 4.6 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),872.41,Dell,1920,1080,Intel Core i5-1335U (13th Gen),16980.0,1971.0
891,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,8,14.0,256,1.55,10-Core: Up to 5 GHz Performance (2 Cores)Up to 3.7 GHz Efficiency (8 Cores),965.88,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
892,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i7-1355U (13th Gen),Intel Iris Xe ,16,14.0,256,1.55,10-Core: Up to 5 GHz Performance (2 Cores)Up to 3.7 GHz Efficiency (8 Cores),975.04,Dell,1920,1080,Intel Core i7-1355U (13th Gen),15287.0,1971.0
893,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i5-1345U (13th Gen),Intel Iris Xe ,8,14.0,256,1.55,10-Core: Up to 4.7 GHz Performance (2 Cores)Up to 3.4 GHz Efficiency (8 Cores),841.09,Dell,1920,1080,Intel Core i5-1345U (13th Gen),15348.0,1971.0
894,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i3-1315U (13th Gen),Intel UHD Graphics ,8,14.0,256,1.55,6-Core: Up to 4.5 GHz Performance (2 Cores)Up to 3.3 GHz Efficiency (4 Cores),702.13,Dell,1366,768,Intel Core i3-1315U (13th Gen),13004.0,324.0
895,"Dell 14"" Latitude 3440 Notebook",Windows 11 Pro,Intel Core i3-1315U (13th Gen),Intel UHD Graphics ,8,14.0,256,1.55,6-Core: Up to 4.5 GHz Performance (2 Cores)Up to 3.3 GHz Efficiency (4 Cores),702.13,Dell,1366,768,Intel Core i3-1315U (13th Gen),13004.0,324.0
896,"Lenovo 15.6"" IdeaPad Slim 3 Notebook (Abyss Blue)",Windows 11 Home,Intel Core i3-1315U (13th Gen),Intel UHD Graphics ,8,15.6,256,1.62,6-Core: Up to 4.5 GHz Performance (2 Cores)Up to 3.3 GHz Efficiency (4 Cores),349.0,Lenovo,1920,1080,Intel Core i3-1315U (13th Gen),13004.0,324.0
897,"Acer 15.6"" Nitro 5 Gaming Laptop (Black)",Windows 11 Home,Intel Core i5-12500H (12th Gen),NVIDIA GeForce RTX 4050 with 6 GB GDDR6 VRAM,16,15.6,512,2.5,12-Core: 2.5 to 4.5 GHz Performance (4 Cores)1.8 to 3.3 GHz Efficiency (8 Cores),949.99,Acer,1920,1080,Intel Core i5-12500H (12th Gen),21525.0,7320.0
