Brand,CPU Mark,GPU Mark,Monitor,Width,Height,RAM,Storage Amount,OS,Weight,Price
Asus,9891.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 10,1.82,529.0
Lenovo,6132.0,926.0,15.6,1366,768,8.0,256.0,Windows 11,2.22,429.99
Asus,26423.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 10,1.8,1049.0
Dell,12421.0,12961.0,16.0,1366,768,16.0,512.0,Windows 11,2.45,1143.44
Acer,9891.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.62,712.99
Lenovo,11027.0,1476.0,15.6,1920,1080,24.0,1024.0,Windows 11,1.63,649.0
Dell,13707.0,2690.0,13.3,2560,1600,32.0,512.0,Windows 11,1.18,2171.52
Dell,24971.0,4253.0,15.0,1920,1080,16.0,512.0,Windows 10,1.41,970.19
Dell,3122.0,25351.0,17.3,1920,1080,64.0,1000.0,Windows 11,1.34,2462.15
Asus,2595.0,1476.0,11.6,1366,768,8.0,128.0,Windows 11,1.73,555.98
Asus,10641.0,4.0,14.0,1920,1080,8.0,128.0,Other,2.64,810.72
MSI,11045.0,2690.0,14.0,1920,1080,32.0,1024.0,Windows 10,1.29,949.0
Lenovo,15853.0,1792.0,15.6,1920,1080,16.0,512.0,Windows 11,1.8,829.99
Dell,23276.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.65,779.49
HP,125.0,324.0,14.0,1920,1080,4.0,32.0,Other,1.8,316.0
Microsoft,10779.0,4253.0,14.4,2560,1600,16.0,512.0,Windows 10,1.67,1388.99
Dell,20843.0,22064.0,14.0,1920,1080,16.0,512.0,Windows 10,1.39,1464.95
MSI,17229.0,17089.0,15.6,1920,1080,64.0,2048.0,Windows 11,1.82,1815.0
Acer,10552.0,926.0,14.0,1920,1200,16.0,1024.0,Windows 10,1.59,1478.99
Dell,9891.0,926.0,14.0,1920,1080,8.0,256.0,Windows 11,1.77,699.99
HP,13144.0,37.0,17.3,1920,1080,16.0,512.0,Windows 10,1.75,529.99
HP,19333.0,2690.0,14.0,1920,1080,16.0,512.0,Windows 11,1.72,1360.65
Other,2302.0,751.0,14.1,1920,1080,8.0,256.0,Windows 10,1.5,359.0
Acer,15287.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.78,799.99
Dell,23062.0,4253.0,15.6,1920,1080,16.0,512.0,Windows 10,1.45,1303.62
Acer,7459.0,6308.0,15.6,1920,1080,8.0,256.0,Windows 10,2.7,719.0
Dell,13775.0,6020.0,16.0,1920,1200,16.0,512.0,Windows 10,1.87,1299.0
HP,15287.0,1971.0,15.6,1920,1080,16.0,256.0,Windows 10,1.79,1989.312760603882
Apple,18877.0,2152.0,14.2,3024,1964,16.0,1024.0,Windows 10,1.5,1999.0
Lenovo,28003.0,22064.0,16.0,1920,1200,16.0,1024.0,Windows 10,2.2,2289.95
HP,1108.0,333.0,14.0,1920,1080,8.0,32.0,Other,1.55,244.0
LG,10346.0,2690.0,16.0,2560,1600,16.0,2048.0,Windows 11,1.5,1239.0
Asus,21525.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,1.55,914.99
Other,20247.0,4253.0,13.3,1920,1080,16.0,256.0,Windows 11,1.18,1255.81
Lenovo,32744.0,13772.0,16.0,3840,2400,16.0,512.0,Windows 11,2.95,1899.0
Dell,15084.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.54,599.0
Lenovo,29690.0,22064.0,16.0,2560,1600,16.0,512.0,Windows 10,1.86,2984.5
Dell,21493.0,926.0,14.0,1920,1080,16.0,256.0,Windows 11,1.55,1202.54
MSI,24268.0,19560.0,17.3,1920,1080,32.0,1024.0,Windows 11,3.85,1499.0
Dell,23276.0,3708.0,15.6,1366,768,8.0,512.0,Windows 11,2.98,1097.24
MSI,8185.0,7868.0,15.6,1920,1080,8.0,256.0,Windows 10,1.86,629.0
Apple,15398.0,2152.0,13.6,2560,1664,8.0,2048.0,Windows 10,1.24,1999.0
Asus,30837.0,17089.0,14.0,1920,1080,16.0,1024.0,Windows 10,1.67,1686.99
Acer,2003.0,926.0,14.0,1366,768,4.0,32.0,Windows 11,1.27,250.66
Dell,16980.0,2690.0,15.6,1920,1080,16.0,256.0,Windows 11,2.0,1278.99
Dell,23276.0,1449.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.64,819.97
Apple,23805.0,6010.0,16.2,3456,2234,18.0,512.0,Windows 10,2.1,2299.0
MSI,26423.0,22459.0,15.6,1920,1080,24.0,1024.0,Windows 11,2.25,1639.0
Dell,3122.0,12961.0,15.6,1920,1200,32.0,512.0,Windows 11,1.92,2140.18
Apple,15398.0,2152.0,15.3,2880,1864,24.0,2048.0,Windows 10,1.5,2499.0
Lenovo,6026.0,1402.0,14.0,1920,1080,16.0,1024.0,Windows 10,1.77,1069.99
Asus,26454.0,12961.0,15.6,1920,1080,16.0,4096.0,Windows 11,1.8,1529.99
Dell,2426.0,1476.0,15.6,1366,768,8.0,128.0,Windows 10,2.68,433.99
Lenovo,15348.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.77,1422.57
Lenovo,29690.0,22064.0,16.0,2560,1600,32.0,1024.0,Windows 10,1.86,3246.5
Dell,16980.0,1971.0,14.0,1920,1080,8.0,256.0,Windows 10,1.55,708.53
Dell,23728.0,12961.0,17.0,3840,2160,32.0,2000.0,Windows 11,3.64,2508.7
Acer,23284.0,5051.0,15.6,1920,1080,12.0,256.0,Windows 10,1.63,856.99
Lenovo,10641.0,926.0,13.3,1920,1080,8.0,128.0,Windows 10,1.77,899.99
HP,13144.0,1792.0,17.3,1920,1080,8.0,256.0,Windows 11,1.64,668.79
HP,15287.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,2.22,928.29
Dell,28523.0,22459.0,16.0,2560,1600,64.0,2048.0,Windows 11,2.27,2269.0
Dell,6132.0,1476.0,15.6,1920,1080,8.0,128.0,Windows 11,2.68,349.99
Lenovo,13446.0,1476.0,14.0,1920,1080,16.0,512.0,Windows 10,1.59,669.0
Dell,32140.0,7320.0,15.6,1920,1080,8.0,1024.0,Windows 11,1.27,1219.0
Dell,20753.0,85.0,17.0,1920,1200,32.0,1024.0,Windows 11,2.09,1946.99
Apple,15398.0,2152.0,13.6,2560,1664,24.0,2048.0,Windows 10,1.24,2399.0
Lenovo,10552.0,3708.0,14.0,1920,1080,24.0,512.0,Windows 11,1.39,1039.99
Dell,13775.0,2690.0,14.0,1920,1080,64.0,2048.0,Windows 10,1.55,1549.99
Lenovo,9891.0,2690.0,15.6,1920,1080,36.0,2048.0,Windows 11,1.6,650.0
Dell,26423.0,12961.0,15.6,1920,1200,32.0,2048.0,Windows 11,1.92,2011.51
HP,16506.0,2040.0,17.3,1600,900,12.0,1024.0,Windows 10,2.18,669.0
Lenovo,18753.0,12961.0,15.6,1920,1080,8.0,1024.0,Windows 11,2.22,739.99
Dell,10346.0,2690.0,15.6,1920,1080,16.0,1024.0,Other,2.55,975.0
Apple,15398.0,1722.0,13.6,2560,1664,24.0,1024.0,Windows 10,1.24,1899.0
LG,20247.0,1971.0,16.0,2560,1600,16.0,512.0,Windows 10,1.2,1299.0
MSI,17441.0,7320.0,15.6,1920,1080,16.0,512.0,Windows 11,1.98,787.99
Acer,24971.0,12961.0,15.6,1920,1080,32.0,512.0,Windows 11,2.22,1099.79
Apple,35380.0,13357.0,16.2,3456,2234,64.0,1024.0,Windows 10,2.2,4199.0
Apple,35380.0,10018.0,14.2,3024,1964,36.0,2048.0,Windows 10,1.6,3599.0
Dell,29690.0,26876.0,17.0,3840,2400,64.0,2048.0,Windows 11,0.76,3503.99
HP,3855.0,1476.0,15.6,1366,768,32.0,1024.0,Windows 10,1.77,699.79
HP,5641.0,324.0,11.6,1366,768,4.0,128.0,Windows 10,1.47,474.95
HP,17441.0,7868.0,15.0,1366,768,8.0,512.0,Windows 10,2.41,590.22
LG,19333.0,2690.0,16.0,2560,1600,16.0,512.0,Windows 11,2.22,1089.49
Dell,15287.0,4253.0,15.6,1920,1080,32.0,1000.0,Windows 11,1.64,949.99
HP,9891.0,926.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.77,558.97
Dell,10936.0,7868.0,15.6,3840,2160,16.0,1024.0,Windows 10,2.5,1999.0
Lenovo,32933.0,13772.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.18,4259.0
Dell,16980.0,1971.0,14.0,1920,1080,16.0,512.0,Windows 10,1.39,1169.95
HP,13775.0,2690.0,17.3,1920,1080,32.0,1024.0,Windows 11,2.27,1053.39
Asus,4982.0,1476.0,15.6,1920,1080,20.0,512.0,Windows 11,1.95,607.99
MSI,17441.0,14691.0,15.6,1920,1080,16.0,512.0,Windows 10,0.79,969.99
Apple,35380.0,13357.0,14.2,3024,1964,64.0,512.0,Windows 10,1.6,3699.0
Dell,10346.0,2690.0,15.6,1920,1080,8.0,1024.0,Windows 11,1.77,699.99
MSI,5769.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.6,1687.99
Acer,28003.0,2690.0,14.0,1920,1200,16.0,1024.0,Windows 11,1.76,1259.0
Dell,12802.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,3.64,923.99
Acer,23276.0,19560.0,15.6,1920,1080,16.0,512.0,Windows 11,2.5,994.99
Microsoft,10552.0,2690.0,13.5,1920,1080,16.0,512.0,Windows 11,1.97,1169.99
Lenovo,18825.0,240.0,16.0,1920,1200,16.0,512.0,Windows 10,1.97,919.95
Dell,15451.0,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,1.39,1284.95
Microsoft,27476.0,22064.0,14.4,2400,1600,64.0,2048.0,Windows 10,1.98,4463.5
Acer,7186.0,1481.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.93,589.99
Dell,2350.0,12961.0,16.0,1920,1200,24.0,1024.0,Other,1.8,1163.08
Apple,15398.0,2152.0,15.3,2880,1864,24.0,512.0,Windows 10,1.5,1899.0
Lenovo,20851.0,1792.0,16.0,1920,1200,32.0,1024.0,Windows 11,1.48,2008.99
Dell,3928.0,13772.0,16.0,1920,1200,32.0,2000.0,Windows 11,2.61,2218.36
Dell,7460.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,598.79
Asus,3310.0,1476.0,11.6,1366,768,4.0,32.0,Other,1.77,167.62
Dell,24971.0,1476.0,14.0,1920,1080,8.0,1000.0,Windows 10,1.38,805.02
Other,28003.0,19560.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.3,1199.99
HP,13144.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 11,2.0,535.0
Acer,3828.0,891.0,15.6,1920,1080,16.0,512.0,Windows 11,1.82,599.0
Asus,1556.0,324.0,11.6,1366,768,4.0,64.0,Windows 10,1.05,194.99
Acer,28906.0,19560.0,16.0,1920,1200,16.0,512.0,Windows 11,2.7,1049.99
HP,9891.0,926.0,17.3,1600,900,32.0,1024.0,Windows 11,1.61,829.0
Dell,15287.0,1971.0,15.6,1920,1080,16.0,256.0,Windows 10,1.81,839.99
Asus,22681.0,22459.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.32,1989.95
Apple,15398.0,2152.0,13.6,2560,1664,8.0,1024.0,Windows 10,1.24,1599.0
Asus,24268.0,19560.0,17.3,1920,1080,16.0,1024.0,Windows 11,1.52,1849.99
Other,15287.0,1971.0,15.6,1920,1080,16.0,512.0,Windows 10,1.57,1099.99
Lenovo,16980.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,0.92,891.41
Lenovo,17229.0,2690.0,13.3,2560,1600,16.0,1024.0,Windows 11,1.0,916.99
Lenovo,9891.0,2690.0,15.6,1920,1080,8.0,512.0,Windows 11,1.76,495.0
Asus,23896.0,10181.0,13.4,1920,1200,16.0,1024.0,Windows 11,2.56,1099.0
HP,28003.0,2690.0,17.3,1920,1080,32.0,1024.0,Windows 10,2.38,1519.0
Lenovo,6132.0,1476.0,15.6,1920,1080,24.0,1024.0,Windows 11,1.9,499.99
Lenovo,13775.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.8,1114.99
Lenovo,28003.0,19560.0,16.0,2560,1600,16.0,512.0,Windows 10,2.2,1806.49
HP,9891.0,926.0,15.6,1920,1080,16.0,512.0,Windows 11,1.77,518.76
HP,20753.0,17089.0,16.1,1920,1080,64.0,1024.0,Windows 11,2.32,1719.0
Dell,23728.0,12961.0,16.0,1920,1200,8.0,512.0,Windows 11,2.03,1156.55
Dell,13775.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,1.47,765.0
Dell,15451.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.84,1689.5
Lenovo,9891.0,926.0,14.0,1920,1080,8.0,256.0,Windows 10,1.77,899.0
Microsoft,9891.0,926.0,13.0,2880,1920,16.0,256.0,Windows 10,0.89,1719.99
Dell,15451.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.84,1689.5
Other,1326.0,1476.0,13.3,3840,2160,8.0,256.0,Other,1.17,624.7
HP,15451.0,2690.0,14.0,1920,1200,16.0,512.0,Windows 11,2.14,2036.96
HP,16980.0,1476.0,13.3,1920,1080,8.0,256.0,Windows 11,1.22,1113.11
HP,3855.0,1476.0,15.6,1366,768,16.0,1024.0,Windows 11,1.77,645.0
Asus,1108.0,926.0,11.6,1366,768,4.0,128.0,Windows 10,1.27,342.0
Lenovo,16980.0,2690.0,13.3,1920,1200,16.0,512.0,Windows 10,2.07,892.32
MSI,26423.0,12961.0,17.3,1920,1080,16.0,1024.0,Windows 11,2.73,1399.0
HP,9737.0,1476.0,17.3,1920,1080,8.0,256.0,Windows 10,1.6,609.99
Dell,19012.0,12961.0,15.6,1920,1080,16.0,512.0,Windows 10,2.95,979.0
Acer,9475.0,1792.0,15.6,1920,1080,8.0,512.0,Windows 11,2.63,599.99
Acer,22947.0,23757.0,15.6,2560,1440,16.0,1024.0,Windows 11,2.5,1179.99
Lenovo,13554.0,4253.0,14.0,2240,1400,16.0,512.0,Windows 11,3.64,899.99
Dell,2502.0,1476.0,14.0,1366,768,8.0,256.0,Windows 10,1.9,254.98
Lenovo,16506.0,2040.0,15.6,1920,1080,8.0,1024.0,Windows 11,2.84,609.0
Dell,23728.0,12961.0,15.6,3840,2160,16.0,1000.0,Windows 11,3.64,2179.35
HP,15287.0,4601.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.06,1139.0
HP,2703.0,4253.0,14.0,1366,768,16.0,1024.0,Windows 10,2.3,342.98
Lenovo,20732.0,25351.0,15.6,1920,1080,32.0,1024.0,Windows 10,4.49,1560.41
Acer,23284.0,5051.0,15.6,1920,1080,8.0,256.0,Windows 10,1.59,893.78
Acer,6978.0,1585.0,15.6,1920,1080,8.0,512.0,Windows 10,1.46,558.99
Lenovo,34115.0,19560.0,16.0,2560,1600,32.0,2048.0,Windows 11,2.55,2129.0
Asus,24887.0,2040.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.8,1199.0
HP,28003.0,22064.0,16.0,1920,1200,32.0,1024.0,Windows 10,1.77,2743.95
Dell,26423.0,17089.0,17.0,3840,2400,24.0,1024.0,Windows 10,1.98,3059.0
HP,1417.0,926.0,14.0,1920,1200,4.0,64.0,Other,2.15,394.0
LG,12421.0,4253.0,14.0,2560,1600,32.0,1024.0,Windows 11,1.0,1796.99
Dell,23276.0,1476.0,13.3,1920,1080,16.0,256.0,Windows 11,1.14,750.74
Apple,15398.0,2152.0,15.3,2880,1864,8.0,512.0,Windows 10,1.5,1399.0
MSI,7646.0,7868.0,15.6,1920,1080,8.0,512.0,Windows 10,0.75,593.99
Lenovo,16506.0,1476.0,15.6,1920,1080,8.0,256.0,Windows 11,1.29,529.0
Asus,9891.0,2690.0,15.6,1920,1080,12.0,512.0,Windows 11,1.77,529.0
HP,14526.0,7868.0,15.6,1920,1080,8.0,512.0,Windows 10,1.99,888.0
Lenovo,23284.0,7868.0,15.6,1920,1080,8.0,512.0,Windows 10,1.77,1085.99
HP,9891.0,926.0,15.6,1920,1080,16.0,512.0,Windows 10,1.77,498.79
HP,9891.0,2690.0,15.6,1920,1080,8.0,256.0,Windows 10,1.73,499.79
Other,1316.0,124.0,10.1,1920,1200,6.0,128.0,Other,1.17,620.99
Asus,1326.0,926.0,14.0,1920,1080,8.0,128.0,Windows 10,2.03,799.99
Dell,17441.0,1476.0,15.6,1920,1080,16.0,256.0,Windows 11,2.17,627.95
HP,2527.0,324.0,17.3,1600,900,4.0,256.0,Windows 11,1.25,421.99
Dell,24971.0,4253.0,15.6,1920,1080,16.0,512.0,Windows 10,1.53,1002.53
Lenovo,15853.0,1487.0,14.0,1920,1080,24.0,1024.0,Windows 10,1.77,1099.95
Dell,9891.0,926.0,15.6,1920,1080,16.0,256.0,Windows 11,1.77,469.0
HP,2003.0,1476.0,14.0,1366,768,4.0,32.0,Other,1.48,250.46
Asus,28523.0,23757.0,15.6,2560,1440,32.0,4096.0,Windows 11,2.3,2619.0
HP,1556.0,1476.0,14.0,1920,1080,4.0,64.0,Windows 10,2.26,259.99
HP,17868.0,3436.0,13.3,1920,1200,16.0,256.0,Windows 10,1.33,1299.17
Acer,16980.0,2690.0,16.0,1920,1200,8.0,512.0,Windows 11,1.6,549.99
Dell,2719.0,926.0,11.6,1366,768,8.0,256.0,Windows 10,2.13,707.99
Dell,23656.0,12961.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.58,1259.0
Dell,17441.0,1476.0,15.6,1920,1080,64.0,256.0,Windows 10,1.59,735.31
Dell,6226.0,926.0,14.0,1920,1080,8.0,256.0,Windows 10,2.27,249.99
HP,21088.0,1971.0,14.0,1920,1200,16.0,512.0,Windows 10,1.5,1944.5
Dell,15451.0,926.0,13.3,1920,1080,16.0,512.0,Windows 11,2.36,1844.21
Apple,15398.0,2152.0,15.3,2880,1864,16.0,2048.0,Windows 10,1.5,2299.0
HP,2169.0,324.0,15.6,1920,1080,8.0,256.0,Windows 11,1.77,439.0
Dell,34115.0,26876.0,16.0,2560,1600,16.0,1024.0,Windows 11,3.32,2099.0
Asus,23284.0,7576.0,15.6,1920,1080,16.0,2048.0,Windows 10,2.68,1399.99
Dell,23728.0,12961.0,15.6,3840,2160,16.0,512.0,Windows 11,3.64,2142.39
Lenovo,3240.0,926.0,14.0,1920,1080,8.0,256.0,Windows 10,2.18,939.9
Dell,2349.0,1476.0,13.3,1366,768,8.0,256.0,Windows 10,1.13,245.98
Dell,7460.0,926.0,15.6,1920,1080,12.0,256.0,Windows 10,2.0,525.0
Lenovo,6132.0,1476.0,14.0,1920,1080,20.0,1024.0,Windows 11,1.5,364.0
MSI,23276.0,26876.0,15.6,1920,1080,16.0,1024.0,Windows 10,1.93,1799.99
LG,2625.0,926.0,16.0,1920,1080,16.0,1024.0,Windows 11,2.62,1397.53
Dell,26423.0,17089.0,17.0,3840,2400,64.0,4096.0,Windows 11,2.43,3609.0
Dell,2059.0,1042.0,13.3,1920,1080,8.0,512.0,Windows 10,1.18,713.87
Lenovo,23001.0,3689.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.5,1720.99
Apple,35380.0,10018.0,14.2,3024,1964,36.0,4096.0,Windows 10,1.6,4199.0
HP,387.0,1476.0,15.6,1366,768,8.0,256.0,Other,1.73,299.0
Acer,6978.0,2040.0,15.6,1920,1080,12.0,512.0,Windows 11,1.94,619.0
Lenovo,16980.0,1971.0,16.0,1920,1200,16.0,512.0,Windows 10,1.89,529.0
Dell,16980.0,1971.0,14.0,1920,1080,16.0,256.0,Windows 10,1.55,929.95
HP,14501.0,2690.0,13.5,1920,1280,16.0,256.0,Windows 11,1.44,941.03
HP,14043.0,2690.0,13.3,1920,1200,16.0,256.0,Windows 11,1.27,871.25
Microsoft,13481.0,1971.0,13.5,2256,1504,16.0,256.0,Windows 10,1.3,1549.95
Lenovo,15084.0,1792.0,15.6,1920,1080,8.0,256.0,Windows 10,1.58,711.99
HP,28003.0,22064.0,16.0,1920,1200,16.0,512.0,Windows 10,1.77,1999.0
MSI,23276.0,19560.0,15.6,1920,1080,16.0,512.0,Windows 11,2.22,1179.99
Dell,23062.0,4253.0,15.6,1920,1080,8.0,512.0,Windows 10,1.84,1225.73
Acer,24971.0,10181.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.68,1096.79
Asus,26423.0,26876.0,15.6,1920,1080,16.0,1024.0,Windows 11,2.23,1199.49
Asus,1108.0,1476.0,11.6,1366,768,4.0,64.0,Windows 10,0.95,230.5
MSI,23276.0,19560.0,15.6,1920,1080,32.0,1024.0,Windows 11,1.76,1189.99
HP,17441.0,2690.0,17.3,1920,1080,32.0,2048.0,Windows 11,2.21,1299.0
Lenovo,10641.0,1476.0,15.6,1366,768,8.0,256.0,Windows 10,0.94,681.0
Acer,28906.0,19560.0,17.3,2560,1600,24.0,1024.0,Windows 10,1.65,1549.0
MSI,26454.0,19560.0,15.6,2560,1440,32.0,1024.0,Windows 11,4.18,1495.0
Microsoft,13775.0,1971.0,15.0,2496,1664,16.0,512.0,Windows 10,1.56,1799.0
HP,9891.0,926.0,15.6,1920,1080,8.0,512.0,Windows 10,1.77,522.89
HP,34115.0,26876.0,16.0,2560,1600,16.0,512.0,Windows 10,2.17,1799.99
Lenovo,2385.0,324.0,11.6,1366,768,4.0,128.0,Windows 10,1.0,428.0
Lenovo,7460.0,926.0,15.6,1920,1080,12.0,128.0,Windows 10,2.22,577.79
Asus,29690.0,12961.0,16.0,1920,1200,24.0,1024.0,Windows 11,1.8,1539.0
Lenovo,5641.0,324.0,15.6,1920,1080,8.0,128.0,Windows 10,1.65,367.5
Lenovo,10346.0,2690.0,14.0,1920,1080,32.0,2048.0,Windows 11,1.89,1689.0
HP,16980.0,2690.0,16.0,1920,1200,16.0,512.0,Windows 11,1.46,1385.6
Lenovo,8641.0,1476.0,13.0,2160,1350,8.0,512.0,Windows 10,1.94,594.99
HP,15084.0,240.0,14.0,1920,1080,8.0,256.0,Windows 10,1.54,678.95
HP,9891.0,926.0,15.6,1920,1080,16.0,512.0,Windows 10,1.77,699.99
HP,13775.0,4601.0,15.6,1920,1080,32.0,2048.0,Windows 11,2.36,1053.99
Acer,10346.0,2690.0,14.0,1920,1200,16.0,1024.0,Windows 10,1.0,1342.99
HP,23062.0,926.0,15.6,1366,768,4.0,500.0,Other,3.5,399.29
Acer,8473.0,12961.0,15.6,1920,1080,8.0,256.0,Windows 10,2.32,899.0
Lenovo,3451.0,926.0,14.0,1920,1080,16.0,512.0,Windows 10,1.45,1599.99
Acer,178.0,2040.0,15.6,1920,1080,8.0,512.0,Windows 11,1.46,588.6
Asus,11027.0,1476.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.77,549.99
HP,13554.0,2690.0,15.6,1920,1080,16.0,512.0,Windows 11,1.61,599.0
HP,116.0,1476.0,17.3,1600,900,8.0,128.0,Windows 10,2.46,678.0
Dell,13481.0,2690.0,14.0,1920,1080,16.0,256.0,Windows 10,1.77,740.0
MSI,26454.0,19560.0,17.3,1920,1080,32.0,1024.0,Windows 10,2.6,1650.59
Asus,24268.0,7320.0,15.6,1920,1080,16.0,1024.0,Windows 11,3.98,1144.99
HP,21088.0,1971.0,14.0,1920,1200,16.0,512.0,Windows 10,1.4,1852.95
Dell,20843.0,1971.0,14.0,1920,1080,16.0,256.0,Windows 10,1.39,1074.95
Lenovo,20843.0,1476.0,17.3,1920,1080,12.0,256.0,Windows 10,2.31,689.0
Apple,15398.0,2152.0,13.6,2560,1664,24.0,1024.0,Windows 10,1.24,1999.0
LG,12802.0,2690.0,15.0,1920,1080,8.0,512.0,Windows 11,1.75,779.99
Acer,8185.0,12961.0,15.6,1920,1080,16.0,1024.0,Windows 10,2.08,1229.0
HP,5455.0,324.0,14.0,1366,768,4.0,128.0,Windows 10,1.4,339.99
Dell,17093.0,12961.0,15.6,1920,1080,32.0,512.0,Windows 10,2.45,1196.57
Lenovo,15348.0,1971.0,14.0,1920,1200,16.0,256.0,Windows 10,1.12,1990.01
Asus,13554.0,2690.0,14.0,1920,1200,16.0,512.0,Other,0.79,931.9
HP,9891.0,2690.0,15.6,1920,1080,32.0,2048.0,Windows 10,2.37,723.79
Dell,24971.0,4253.0,13.0,1920,1080,16.0,256.0,Windows 10,1.23,727.64
Asus,23656.0,10181.0,16.0,3840,2400,16.0,1024.0,Windows 11,2.0,1199.99
Dell,24971.0,4253.0,14.0,1920,1080,16.0,512.0,Windows 10,3.64,449.69
Apple,35380.0,13357.0,14.2,3024,1964,64.0,4096.0,Windows 10,1.6,4899.0
Dell,14043.0,2690.0,14.0,1920,1200,16.0,256.0,Windows 11,1.77,1049.0
Dell,2304.0,4253.0,14.0,1920,1080,8.0,128.0,Windows 10,3.41,953.6
Lenovo,13775.0,2690.0,15.6,1920,1080,16.0,1024.0,Windows 11,1.7,1159.0
MSI,20753.0,22459.0,15.6,1920,1080,32.0,1024.0,Windows 11,2.38,1944.76
Dell,13775.0,6020.0,16.0,1920,1200,32.0,2048.0,Windows 10,1.87,1559.0
MSI,20753.0,17089.0,17.3,1920,1080,16.0,2048.0,Windows 10,1.76,1885.0
Lenovo,18658.0,11706.0,17.3,1920,1080,32.0,1024.0,Windows 10,1.88,1079.99
Asus,14526.0,7868.0,17.3,1920,1080,16.0,512.0,Windows 10,2.59,919.0
HP,15287.0,2690.0,14.0,1920,1080,16.0,4096.0,Windows 11,1.52,1519.0
Other,17329.0,4253.0,13.3,1920,1080,8.0,256.0,Windows 11,0.87,838.05
HP,16980.0,1971.0,14.0,1920,1200,16.0,512.0,Windows 10,1.4,1467.5
